"geo_code","domain_supermarket_proximity","domain_supermarket_accessibility","domain_ecommerce_access","domain_socio_demographic","domain_nonsupermarket_proximity","domain_food_for_families","domain_fuel_poverty","country","country_denominator","combined","pp_dec_domain_supermarket_proximity","pp_dec_domain_supermarket_accessibility","pp_dec_domain_ecommerce_access","pp_dec_domain_socio_demographic","pp_dec_domain_nonsupermarket_proximity","pp_dec_domain_food_for_families","pp_dec_domain_fuel_poverty","pp_dec_combined"
"E01001298",12622,8699,955,9351,24525,20906,12237,"E",32843,5561,4,3,1,3,8,7,4,2
"E01001248",19364,29046,18356,12245,23936,15623,15869,"E",32843,17517,6,9,6,4,8,5,5,6
"E01001291",17960,19288,6523,14533,22338,21489,16759,"E",32843,11908,6,6,2,5,7,7,6,4
"E01001239",21948,17072,6523,5856,23019,21643,7742,"E",32843,8245,7,6,2,2,8,7,3,3
"E01001216",20608,15714,8458,12039,18806,19658,14581,"E",32843,8602,7,5,3,4,6,6,5,3
"E01001230",27406,15928,29847,12243,21977,21866,29254,"E",32843,27731,9,5,10,4,7,7,9,9
"E01001268",22713,11795,18356,16666,21819,21573,23299,"E",32843,17723,7,4,6,6,7,7,8,6
"E01001236",32030,22646,29847,8128,21633,21625,27711,"E",32843,29924,10,7,10,3,7,7,9,10
"E01001224",25767,10700,29847,23501,15111,17209,27316,"E",32843,25537,8,4,10,8,5,6,9,8
"E01001322",12289,15415,6523,11898,21159,24524,15323,"E",32843,9509,4,5,2,4,7,8,5,3
"E01001235",29595,29159,29847,13244,23202,22766,30614,"E",32843,31366,10,9,10,5,8,7,10,10
"E01001300",15582,25143,29847,21043,23845,19029,31483,"E",32843,29955,5,8,10,7,8,6,10,10
"E01001210",10456,11109,955,1205,17673,18680,5860,"E",32843,1293,4,4,1,1,6,6,2,1
"E01001316",23786,17515,8458,4983,22116,24653,6562,"E",32843,10353,8,6,3,2,7,8,2,4
"E01001246",24317,18984,18356,6629,25557,19745,7003,"E",32843,12720,8,6,6,3,8,7,3,4
"E01001341",16800,27388,6523,17164,23756,22850,15507,"E",32843,17221,6,9,2,6,8,7,5,6
"E01001352",21812,31283,29847,12595,24484,24113,23948,"E",32843,29419,7,10,10,4,8,8,8,9
"E01001208",16944,13355,26601,20533,12420,18630,28670,"E",32843,21339,6,5,9,7,4,6,9,7
"E01001321",13885,12869,8458,10814,22469,25110,12647,"E",32843,9402,5,4,3,4,7,8,4,3
"E01001333",19737,14163,955,3946,25089,22894,4838,"E",32843,6734,7,5,1,2,8,7,2,3
"E01001247",25842,21157,6523,8925,24416,20923,12430,"E",32843,13526,8,7,2,3,8,7,4,5
"E01001272",19819,23819,6523,14961,23686,22988,14230,"E",32843,14940,7,8,2,5,8,7,5,5
"E01001389",32578,26945,26601,8239,25526,13830,18867,"E",32843,28129,10,9,9,3,8,5,6,9
"E01001206",10416,9453,8458,2353,9743,15973,3505,"E",32843,538,4,3,3,1,3,5,2,1
"E01001274",12402,12114,26601,20522,18858,22656,29918,"E",32843,24244,4,4,9,7,6,7,10,8
"E01001294",15313,11431,8458,13839,18535,21825,16589,"E",32843,8241,5,4,3,5,6,7,6,3
"E01001302",21305,28938,26601,17361,22291,18090,25056,"E",32843,25573,7,9,9,6,7,6,8,8
"E01001271",10410,23270,6523,13892,24865,24251,10554,"E",32843,12290,4,8,2,5,8,8,4,4
"E01001335",4855,8174,6523,15081,22046,21635,19200,"E",32843,7791,2,3,2,5,7,7,6,3
"E01001387",30460,22178,29847,12455,22825,17970,25221,"E",32843,27636,10,7,10,4,7,6,8,9
"E01001310",27384,15657,6523,13546,30372,23968,16158,"E",32843,21331,9,5,2,5,10,8,5,7
"E01001233",16613,30576,26601,8011,24203,20120,21343,"E",32843,23824,6,10,9,3,8,7,7,8
"E01001313",18870,9502,6523,17059,20802,23729,18893,"E",32843,12167,6,3,2,6,7,8,6,4
"E01001242",23455,17177,6523,9124,24759,23959,17612,"E",32843,14585,8,6,2,3,8,8,6,5
"E01001213",18353,12479,955,9119,23213,22318,10149,"E",32843,6998,6,4,1,3,8,7,4,3
"E01001228",30059,17349,26601,11754,20330,17985,29732,"E",32843,26964,10,6,9,4,7,6,10,9
"E01001334",10825,8826,955,3498,22682,22571,7213,"E",32843,3422,4,3,1,2,7,7,3,2
"E01001265",12829,9500,6523,14039,20409,23260,12004,"E",32843,7111,4,3,2,5,7,8,4,3
"E01001324",23604,7742,6523,7960,18964,24558,14880,"E",32843,9500,8,3,2,3,6,8,5,3
"E01001199",25262,30724,26601,5295,25449,23613,11399,"E",32843,25036,8,10,9,2,8,8,4,8
"E01001305",26824,17683,26601,22810,24482,15721,31039,"E",32843,29063,9,6,9,7,8,5,10,9
"E01001382",28408,26708,26601,25700,22098,17673,31500,"E",32843,31204,9,9,9,8,7,6,10,10
"E01001273",9385,19809,26601,21866,19047,23011,29770,"E",32843,25625,3,7,9,7,6,8,10,8
"E01032743",18440,13213,6523,9456,21548,23055,9224,"E",32843,7532,6,5,2,3,7,8,3,3
"E01001283",18550,21964,8458,2949,18276,17621,7747,"E",32843,5377,6,7,3,1,6,6,3,2
"E01001278",9419,23136,6523,10768,22923,21465,12356,"E",32843,9161,3,8,2,4,7,7,4,3
"E01001346",16936,24158,6523,17258,19477,21446,20070,"E",32843,14749,6,8,2,6,6,7,7,5
"E01001303",16550,30687,29847,18788,23401,19966,28472,"E",32843,29561,6,10,10,6,8,7,9,10
"E01001296",6119,10064,8458,13007,17371,21042,13161,"E",32843,4707,2,4,3,4,6,7,5,2
"E01001301",15883,24006,29847,8958,23254,19291,19658,"E",32843,20809,5,8,10,3,8,6,6,7
"E01001284",22190,17359,18356,17768,18011,17156,19974,"E",32843,14440,7,6,6,6,6,6,7,5
"E01001363",11918,9725,955,8322,24753,24854,11929,"E",32843,7384,4,3,1,3,8,8,4,3
"E01001222",31760,27402,29847,7589,25846,16623,23576,"E",32843,29383,10,9,10,3,8,6,8,9
"E01001304",19497,17821,29847,11931,22199,17696,24131,"E",32843,21485,6,6,10,4,7,6,8,7
"E01001384",29582,25032,29847,15607,25927,16328,26780,"E",32843,29008,10,8,10,5,8,5,9,9
"E01001361",29674,20995,955,5905,26659,23794,5540,"E",32843,16295,10,7,1,2,9,8,2,5
"E01001243",29141,27527,6523,5761,25613,21246,13608,"E",32843,19613,9,9,2,2,8,7,5,6
"E01001279",12595,9946,26601,29281,14002,21567,21332,"E",32843,22189,4,4,9,9,5,7,7,7
"E01001336",11440,14725,8458,10222,24342,21197,14011,"E",32843,8164,4,5,3,4,8,7,5,3
"E01001345",21661,17495,8458,12990,22759,22595,11909,"E",32843,11692,7,6,3,4,7,7,4,4
"E01032572",32409,26817,29847,10749,25943,25446,25435,"E",32843,31453,10,9,10,4,8,8,8,10
"E01001368",15585,10308,955,10497,25454,22583,15092,"E",32843,8667,5,4,1,4,8,7,5,3
"E01001383",31413,17975,29847,15003,22197,14488,25550,"E",32843,27609,10,6,10,5,7,5,8,9
"E01001311",13377,9435,8458,8273,28911,23630,9207,"E",32843,10083,5,3,3,3,9,8,3,4
"E01001350",19699,16191,26601,12975,18167,24006,25447,"E",32843,21136,6,5,9,4,6,8,8,7
